일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/03/03","60500","-300","-0.49","61000","61200","60500","10711405","649938305450","361171844275000","5969782550"
"2023/03/02","60800","200","0.33","60900","61800","60500","13095682","798787155210","362962779040000","5969782550"
"2023/02/28","60600","100","0.17","60800","61400","60500","13715861","834902635220","361768822530000","5969782550"
"2023/02/27","60500","-800","-1.31","60800","60800","60200","11155697","674292520900","361171844275000","5969782550"
"2023/02/24","61300","-700","-1.13","62300","62600","61300","10308143","638634052687","365947670315000","5969782550"
"2023/02/23","62000","900","1.47","61700","62500","61500","13047099","809465376980","370126518100000","5969782550"
"2023/02/22","61100","-1000","-1.61","61500","61800","61000","11959088","732238903100","364753713805000","5969782550"
"2023/02/21","62100","-600","-0.96","62700","62800","62000","7665046","476711896776","370723496355000","5969782550"
"2023/02/20","62700","100","0.16","62900","63000","61800","12908073","806198780800","374305365885000","5969782550"
"2023/02/17","62600","-1100","-1.73","62900","63300","62400","10791265","677809979471","373708387630000","5969782550"
"2023/02/16","63700","1500","2.41","62500","63700","62400","13798831","873759607962","380275148435000","5969782550"
"2023/02/15","62200","-1000","-1.58","63900","63900","62000","13208103","826031235400","371320474610000","5969782550"
"2023/02/14","63200","300","0.48","63600","63900","63200","9126664","579858006300","377290257160000","5969782550"
"2023/02/13","62900","100","0.16","62900","63000","62300","10730362","672253190500","375499322395000","5969782550"
"2023/02/10","62800","-200","-0.32","62600","63000","62400","9382576","587897501100","374902344140000","5969782550"
"2023/02/09","63000","-100","-0.16","63000","63300","62300","12164865","764921355400","376096300650000","5969782550"
"2023/02/08","63100","1200","1.94","62800","63300","62400","12243125","770472521000","376693278905000","5969782550"
"2023/02/07","61900","300","0.49","61900","62500","61600","14491039","898617000700","369529539845000","5969782550"
"2023/02/06","61600","-2200","-3.45","62800","63000","61600","15529356","967890468300","367738605080000","5969782550"
"2023/02/03","63800","300","0.47","63900","64000","63000","15194598","967336146677","380872126690000","5969782550"
"2023/02/02","63500","1700","2.75","63200","63900","62600","23285983","1474629229812","379081191925000","5969782550"
"2023/02/01","61800","800","1.31","62600","62700","61000","18570133","1145781815984","368932561590000","5969782550"
"2023/01/31","61000","-2300","-3.63","63500","63700","61000","29746731","1835768640685","364156735550000","5969782550"
"2023/01/30","63300","-1300","-2.01","64900","64900","63100","20995234","1337025734920","377887235415000","5969782550"
"2023/01/27","64600","700","1.10","64400","65000","63900","18760182","1212764792491","385647952730000","5969782550"
"2023/01/26","63900","500","0.79","63800","63900","63300","13278277","846408637700","381469104945000","5969782550"
"2023/01/25","63400","1600","2.59","63500","63700","63000","16822710","1066200962700","378484213670000","5969782550"
"2023/01/20","61800","300","0.49","62100","62300","61100","9646327","595372614900","368932561590000","5969782550"
"2023/01/19","61500","1100","1.82","60500","61500","60400","12808490","781937546636","367141626825000","5969782550"
"2023/01/18","60400","-600","-0.98","60700","61000","59900","11584041","698509509800","360574866020000","5969782550"
"2023/01/17","61000","-100","-0.16","61200","61500","60600","9831456","599708754138","364156735550000","5969782550"
"2023/01/16","61100","300","0.49","61300","61600","60800","10039972","615315636500","364753713805000","5969782550"
"2023/01/13","60800","300","0.50","60500","61200","60400","12510328","761169640700","362962779040000","5969782550"
"2023/01/12","60500","0","0.00","61100","61200","59900","16102561","972246984400","361171844275000","5969782550"
"2023/01/11","60500","100","0.17","61000","61200","60300","12310751","747215374304","361171844275000","5969782550"
"2023/01/10","60400","-300","-0.49","60200","61100","59900","14859797","898812198128","360574866020000","5969782550"
"2023/01/09","60700","1700","2.88","59700","60700","59600","18640107","1124606672500","362365800785000","5969782550"
"2023/01/06","59000","800","1.37","58300","59400","57900","17334989","1018769177900","352217170450000","5969782550"
"2023/01/05","58200","400","0.69","58200","58800","57600","15682826","911973904900","347441344410000","5969782550"
"2023/01/04","57800","2400","4.33","55700","58000","55600","20188071","1151473733800","345053431390000","5969782550"
"2023/01/03","55400","-100","-0.18","55400","56000","54500","13547030","747898872200","330725953270000","5969782550"
"2023/01/02","55500","200","0.36","55500","56100","55200","10031448","558433491400","331322931525000","5969782550"
"2022/12/29","55300","-1300","-2.30","56000","56200","55300","11295935","628653753150","330128975015000","5969782550"
"2022/12/28","56600","-1500","-2.58","57600","57600","56400","14665410","832919426100","337889692330000","5969782550"
"2022/12/27","58100","200","0.35","58000","58400","57900","10667027","620410096800","346844366155000","5969782550"
"2022/12/26","57900","-200","-0.34","58000","58100","57700","6756411","391223170600","345650409645000","5969782550"
"2022/12/23","58100","-1000","-1.69","58200","58400","57700","9829407","570401785680","346844366155000","5969782550"
"2022/12/22","59100","1100","1.90","58100","59100","58100","10720630","628698962726","352814148705000","5969782550"
"2022/12/21","58000","-600","-1.02","58700","59100","58000","10356971","603985894600","346247387900000","5969782550"
"2022/12/20","58600","-900","-1.51","59000","59100","58500","9284761","545533294130","349829257430000","5969782550"
"2022/12/19","59500","0","0.00","59500","59900","59100","7696187","457558919300","355202061725000","5969782550"
"2022/12/16","59500","200","0.34","58300","59500","58300","13033596","769867746731","355202061725000","5969782550"
"2022/12/15","59300","-1200","-1.98","59800","60200","59300","8716039","519762171147","354008105215000","5969782550"
"2022/12/14","60500","800","1.34","59800","60600","59800","8207485","495209255105","361171844275000","5969782550"
"2022/12/13","59700","200","0.34","59600","60300","59400","9040873","539587782200","356396018235000","5969782550"
"2022/12/12","59500","-900","-1.49","59900","60000","59400","9036472","538557972800","355202061725000","5969782550"
"2022/12/09","60400","1200","2.03","59300","60600","59300","10529632","633777717900","360574866020000","5969782550"
"2022/12/08","59200","300","0.51","58700","59200","58600","12986815","766212023592","353411126960000","5969782550"
"2022/12/07","58900","-300","-0.51","58800","59600","58500","12100662","714083283900","351620192195000","5969782550"
"2022/12/06","59200","-1100","-1.82","59800","60100","59200","13888300","827339804388","353411126960000","5969782550"
"2022/12/05","60300","-100","-0.17","60900","61100","60000","13767787","832613739000","359977887765000","5969782550"
"2022/12/02","60400","-2200","-3.51","62500","62500","60400","15331184","935960853120","360574866020000","5969782550"
"2022/12/01","62600","400","0.64","63100","63200","62300","16631445","1044546161950","373708387630000","5969782550"
"2022/11/30","62200","1600","2.64","60400","62200","60200","19768903","1218354958444","371320474610000","5969782550"
"2022/11/29","60600","500","0.83","59900","60600","59800","7014160","422226001673","361768822530000","5969782550"
"2022/11/28","60100","-900","-1.48","60500","60500","59800","8589032","515486605100","358783931255000","5969782550"
"2022/11/25","61000","-400","-0.65","61400","61700","60800","6677933","407953216200","364156735550000","5969782550"
"2022/11/24","61400","400","0.66","61200","61700","60900","8125010","497273294550","366544648570000","5969782550"
"2022/11/23","61000","400","0.66","61200","61300","60700","8765050","534580211500","364156735550000","5969782550"
"2022/11/22","60600","-800","-1.30","60900","61200","60300","9411289","571460562800","361768822530000","5969782550"
"2022/11/21","61400","-400","-0.65","61400","61800","60800","9378097","573783339409","366544648570000","5969782550"
"2022/11/18","61800","400","0.65","61800","62400","61400","12236503","757454905470","368932561590000","5969782550"
"2022/11/17","61400","-1300","-2.07","62000","62000","61300","13298296","819118806800","366544648570000","5969782550"
"2022/11/16","62700","300","0.48","62400","62700","61700","12909260","804219667250","374305365885000","5969782550"
"2022/11/15","62400","500","0.81","62200","62500","61600","12310986","764117239743","372514431120000","5969782550"
"2022/11/14","61900","-1000","-1.59","62900","62900","61700","15973416","993352234080","369529539845000","5969782550"
"2022/11/11","62900","2500","4.14","63100","63200","62300","20037163","1257129641861","375499322395000","5969782550"
"2022/11/10","60400","-1600","-2.58","61400","61500","60400","21087633","1283005045328","360574866020000","5969782550"
"2022/11/09","62000","200","0.32","62000","62200","61300","14045592","869644724000","370126518100000","5969782550"
"2022/11/08","61800","1600","2.66","60500","61900","60500","18273898","1123976801804","368932561590000","5969782550"
"2022/11/07","60200","800","1.35","59700","60300","59400","12437246","747350127100","359380909510000","5969782550"
"2022/11/04","59400","200","0.34","59100","59500","58400","12445841","734525784600","354605083470000","5969782550"
"2022/11/03","59200","-400","-0.67","58600","59800","58100","17492162","1029199659366","353411126960000","5969782550"
"2022/11/02","59600","-400","-0.67","59700","60000","59300","13202919","787057605000","355799039980000","5969782550"
"2022/11/01","60000","600","1.01","59900","60300","59500","17201647","1030380927406","358186953000000","5969782550"
"2022/10/31","59400","2100","3.66","58100","59900","58000","18999514","1126467842000","354605083470000","5969782550"
"2022/10/28","57300","-2200","-3.70","58900","59200","57200","20924937","1213293156195","342068540115000","5969782550"
"2022/10/27","59500","100","0.17","59700","60100","58900","21756712","1296030977930","355202061725000","5969782550"
"2022/10/26","59400","1700","2.95","58000","59600","57700","20824967","1227076491560","354605083470000","5969782550"
"2022/10/25","57700","200","0.35","57000","58600","57000","17405678","1009512119302","344456453135000","5969782550"
"2022/10/24","57500","1600","2.86","57000","57500","56700","16944503","968892104300","343262496625000","5969782550"
"2022/10/21","55900","400","0.72","55100","56300","55100","11456060","640343092816","333710844545000","5969782550"
"2022/10/20","55500","-300","-0.54","55200","56000","55100","17107653","949265250905","331322931525000","5969782550"
"2022/10/19","55800","-700","-1.24","56700","56900","55700","12660652","710947532900","333113866290000","5969782550"
"2022/10/18","56500","-100","-0.18","56700","57100","55800","14820702","835744764000","337292714075000","5969782550"
"2022/10/17","56600","300","0.53","55800","57000","55700","13641878","769638197200","337889692330000","5969782550"
"2022/10/14","56300","1100","1.99","56200","56500","55800","12924326","726962989400","336098757565000","5969782550"
"2022/10/13","55200","-600","-1.08","55400","56100","55200","13784602","765435187900","329531996760000","5969782550"
"2022/10/12","55800","400","0.72","55700","57000","55200","18408910","1032656163200","333113866290000","5969782550"
"2022/10/11","55400","-800","-1.42","54400","55700","54000","21437877","1172168853325","330725953270000","5969782550"
